age_band,income_band,education,household_type,region,metro_tier,estimated_count
18-24,under_50k,high_school,single,northeast,top_25,850000
18-24,under_50k,some_college,single,south,top_50,920000
18-24,50k_100k,some_college,single,west,top_10,480000
18-24,50k_100k,bachelors,single,midwest,top_50,390000
25-34,under_50k,some_college,single,south,other,1100000
25-34,50k_100k,bachelors,single,northeast,top_10,870000
25-34,50k_100k,bachelors,couple_no_kids,west,top_10,760000
25-34,100k_150k,bachelors,couple_no_kids,west,top_25,520000
25-34,150k_plus,graduate,couple_no_kids,northeast,top_10,310000
25-34,150k_plus,graduate,single,west,top_10,290000
35-44,50k_100k,bachelors,family_with_kids,south,top_50,1200000
35-44,100k_150k,bachelors,family_with_kids,northeast,top_25,780000
35-44,100k_150k,graduate,family_with_kids,west,top_10,640000
35-44,150k_plus,graduate,family_with_kids,northeast,top_10,420000
35-44,150k_plus,graduate,couple_no_kids,west,top_25,380000
45-54,50k_100k,bachelors,family_with_kids,midwest,other,950000
45-54,100k_150k,bachelors,family_with_kids,south,top_50,720000
45-54,150k_plus,graduate,couple_no_kids,northeast,top_10,560000
45-54,150k_plus,graduate,family_with_kids,west,top_25,490000
55-64,under_50k,high_school,couple_no_kids,south,other,1050000
55-64,50k_100k,some_college,senior_household,midwest,other,880000
55-64,100k_150k,bachelors,couple_no_kids,northeast,top_50,510000
65+,under_50k,high_school,senior_household,south,other,1400000
65+,50k_100k,some_college,senior_household,midwest,other,960000
65+,100k_150k,bachelors,senior_household,northeast,top_50,420000
