archetype,attitude,spend_orientation,age_band,estimated_count
early_adopter,openness_high,discretionary_tech,22-54,9200000
value_conscious,price_sensitive,discount_seeker,all,32000000
premium_quality,brand_trust,full_price_ok,35-64,14600000
convenience_first,time_value,subscription_delivery,25-54,26000000
experience_over_things,experiential,travel_dining,22-54,18400000
urban_sophisticate,cultural_engaged,dining_cultural,25-54,8400000
suburban_family,community_oriented,family_focused,30-54,22000000
rural_traditionalist,practical_values,value_driven,35-70,17000000
creative_class,creative_professional,tools_experiences,25-54,6200000
striving_young_professional,ambitious,fitness_dining_travel,25-35,7800000
diy_self_reliant,practical_capable,home_outdoor,30-64,14200000
sustainability_focused,values_driven,eco_premium,22-54,11800000
health_focused,wellness_first,organic_fitness,25-64,18000000
family_first,family_priority,family_spend,25-64,36000000
adventure_seekers,experiential_active,outdoor_travel,22-54,9400000
tech_enthusiast,tech_engaged,tech_upgrade,22-54,13400000
opinion_leader,influential,broad_discretionary,25-54,4200000
trend_follower,social_driven,fashion_tech,18-44,16800000
late_adopter,pragmatic,value_established,55_plus,18600000
minimalist,quality_over_quantity,selective_premium,25-54,5800000
